epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,146.29,1.64508,1.1604,1.37027,0.6101,0.57571,0.57414,0.16583,2.42606,1.71142,2.09839,0.00183764,0.00183764,0.00183764
43,148.371,1.60632,1.14079,1.36301,0.64482,0.61659,0.58801,0.18565,2.46176,1.56864,2.04394,0.00183368,0.00183368,0.00183368
44,150.476,1.61977,1.20776,1.39864,0.62036,0.60377,0.56857,0.16998,2.3682,1.76669,1.95482,0.00182972,0.00182972,0.00182972
45,152.583,1.56396,1.16181,1.34786,0.62036,0.60377,0.56857,0.16998,2.3682,1.76669,1.95482,0.00182576,0.00182576,0.00182576
46,154.78,1.56219,1.16021,1.34037,0.65562,0.50943,0.5125,0.14403,2.41796,1.93623,2.06044,0.0018218,0.0018218,0.0018218
47,156.985,1.54234,1.14367,1.32196,0.56074,0.56604,0.53382,0.16441,2.38946,1.72559,1.9916,0.00181784,0.00181784,0.00181784
48,159.266,1.52437,1.13932,1.29809,0.62299,0.56122,0.56606,0.16568,2.47966,1.6521,2.10807,0.00181388,0.00181388,0.00181388
49,161.344,1.61186,1.13968,1.38007,0.62299,0.56122,0.56606,0.16568,2.47966,1.6521,2.10807,0.00180992,0.00180992,0.00180992
50,163.567,1.5355,1.05258,1.29535,0.5935,0.61983,0.58098,0.18018,2.41594,1.68819,2.1375,0.00180596,0.00180596,0.00180596
51,165.83,1.56864,1.08413,1.32329,0.63602,0.60377,0.55558,0.17851,2.38683,1.65278,2.14687,0.001802,0.001802,0.001802
52,168.181,1.55513,1.07204,1.34704,0.60818,0.57547,0.55076,0.18003,2.39317,1.68566,2.15419,0.00179804,0.00179804,0.00179804
53,170.476,1.43269,1.04323,1.27452,0.60818,0.57547,0.55076,0.18003,2.39317,1.68566,2.15419,0.00179408,0.00179408,0.00179408
54,172.855,1.46793,1.06043,1.27849,0.71912,0.41509,0.48605,0.1646,2.43371,1.82329,2.1748,0.00179012,0.00179012,0.00179012
55,175.092,1.50641,1.06085,1.28407,0.55406,0.54717,0.4717,0.16222,2.40141,1.82822,2.11954,0.00178616,0.00178616,0.00178616
56,177.426,1.48362,1.02019,1.26921,0.64519,0.58491,0.53149,0.18319,2.48967,1.64446,2.11175,0.0017822,0.0017822,0.0017822
57,179.698,1.41484,1.00862,1.27039,0.64519,0.58491,0.53149,0.18319,2.48967,1.64446,2.11175,0.00177824,0.00177824,0.00177824
58,181.915,1.52123,1.05533,1.30282,0.67804,0.59604,0.6266,0.20842,2.43012,1.50806,2.02555,0.00177428,0.00177428,0.00177428
59,184.281,1.48897,1.03228,1.29711,0.67904,0.67861,0.65112,0.2153,2.41023,1.40109,2.0049,0.00177032,0.00177032,0.00177032
60,186.553,1.35964,0.99107,1.24837,0.68457,0.67568,0.66636,0.21402,2.42533,1.41931,1.9865,0.00176636,0.00176636,0.00176636
61,189.043,1.52029,1.01575,1.29161,0.68457,0.67568,0.66636,0.21402,2.42533,1.41931,1.9865,0.0017624,0.0017624,0.0017624
62,191.353,1.48494,1.01933,1.25075,0.66113,0.65094,0.62762,0.19718,2.45029,1.45904,1.99038,0.00175844,0.00175844,0.00175844
63,193.525,1.40526,1.01932,1.26374,0.68682,0.57931,0.56284,0.18634,2.4604,1.56615,2.02424,0.00175448,0.00175448,0.00175448
64,195.809,1.5005,1.01076,1.28891,0.60549,0.5566,0.51932,0.19254,2.39919,1.62321,2.02116,0.00175052,0.00175052,0.00175052
65,197.971,1.39701,0.9975,1.23963,0.60549,0.5566,0.51932,0.19254,2.39919,1.62321,2.02116,0.00174656,0.00174656,0.00174656
66,200.273,1.43653,0.98168,1.24076,0.57162,0.54717,0.53893,0.17869,2.39964,1.70035,2.02912,0.0017426,0.0017426,0.0017426
67,202.494,1.37568,0.97973,1.25814,0.55908,0.46226,0.4575,0.14344,2.50197,1.93905,2.16358,0.00173864,0.00173864,0.00173864
68,204.67,1.42741,0.97194,1.24643,0.60923,0.44125,0.44199,0.13889,2.48839,2.0712,2.21946,0.00173468,0.00173468,0.00173468
69,206.758,1.37965,0.97985,1.22722,0.60923,0.44125,0.44199,0.13889,2.48839,2.0712,2.21946,0.00173072,0.00173072,0.00173072
70,209.111,1.41128,1.01702,1.256,0.52852,0.34906,0.36471,0.1163,2.56863,2.3124,2.34306,0.00172676,0.00172676,0.00172676
71,211.251,1.41113,0.98749,1.25465,0.66513,0.25472,0.27447,0.09391,2.60692,2.52802,2.43686,0.0017228,0.0017228,0.0017228
72,213.307,1.38386,0.92986,1.23273,0.72724,0.28302,0.33739,0.10236,2.58409,2.44888,2.37167,0.00171884,0.00171884,0.00171884
73,215.445,1.4255,0.95441,1.22127,0.72724,0.28302,0.33739,0.10236,2.58409,2.44888,2.37167,0.00171488,0.00171488,0.00171488
74,217.679,1.39218,0.95232,1.21491,0.70629,0.32075,0.37157,0.12704,2.53875,2.1864,2.27029,0.00171092,0.00171092,0.00171092
75,219.86,1.37565,0.9592,1.20131,0.70401,0.39623,0.4466,0.14785,2.57211,1.85323,2.30118,0.00170696,0.00170696,0.00170696
76,222.202,1.36018,0.94949,1.22855,0.5828,0.48763,0.49401,0.15994,2.5517,1.70035,2.26163,0.001703,0.001703,0.001703
77,224.336,1.44015,0.93476,1.2613,0.5828,0.48763,0.49401,0.15994,2.5517,1.70035,2.26163,0.00169904,0.00169904,0.00169904
78,226.521,1.38313,0.91057,1.22065,0.56637,0.56604,0.53492,0.16347,2.58134,1.59855,2.24764,0.00169508,0.00169508,0.00169508
79,228.67,1.42103,0.94674,1.25514,0.60118,0.48113,0.4713,0.15243,2.5786,1.69011,2.25613,0.00169112,0.00169112,0.00169112
80,231.028,1.38164,0.90228,1.19144,0.63268,0.49057,0.49654,0.15407,2.54493,1.73861,2.23513,0.00168716,0.00168716,0.00168716
81,233.149,1.36524,0.91392,1.18696,0.63268,0.49057,0.49654,0.15407,2.54493,1.73861,2.23513,0.0016832,0.0016832,0.0016832
82,235.491,1.33446,0.9175,1.22503,0.54583,0.54717,0.51306,0.16777,2.52362,1.68574,2.18491,0.00167924,0.00167924,0.00167924
83,237.766,1.35719,0.90455,1.19024,0.63898,0.5566,0.5481,0.16151,2.6204,1.58846,2.20833,0.00167528,0.00167528,0.00167528
84,240.078,1.36963,0.93504,1.24549,0.73583,0.5,0.5719,0.18145,2.6324,1.55708,2.22819,0.00167132,0.00167132,0.00167132
85,242.314,1.37989,0.93593,1.21366,0.73583,0.5,0.5719,0.18145,2.6324,1.55708,2.22819,0.00166736,0.00166736,0.00166736
86,244.453,1.28109,0.88318,1.15548,0.63089,0.49986,0.50229,0.17493,2.52474,1.73729,2.23984,0.0016634,0.0016634,0.0016634
87,246.729,1.31134,0.90464,1.20725,0.68209,0.46226,0.5126,0.16873,2.47344,1.70677,2.21024,0.00165944,0.00165944,0.00165944
88,249.043,1.31095,0.88852,1.19517,0.61776,0.5,0.51075,0.16467,2.48151,1.6787,2.18527,0.00165548,0.00165548,0.00165548
89,251.2,1.30655,0.87589,1.1677,0.61776,0.5,0.51075,0.16467,2.48151,1.6787,2.18527,0.00165152,0.00165152,0.00165152
90,253.462,1.2845,0.92255,1.20327,0.59186,0.51887,0.4933,0.15927,2.4976,1.78683,2.22911,0.00164756,0.00164756,0.00164756
