epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.39779,1.57304,1.85971,4.08469,1.21228,0.00222,0.17391,0.00135,0.00063,0.00278,0.21739,0.00176,0.00092,1.29161,1.69463,3.81037,1.16184,4e-05,4e-05,4e-05
2,5.52881,1.55292,1.99708,3.99675,1.18756,0.00417,0.32609,0.00277,0.00154,0.00472,0.36957,0.00325,0.00189,1.04687,1.49664,3.74218,1.09861,9.9802e-05,9.9802e-05,9.9802e-05
3,7.59581,1.14155,1.33862,3.55153,0.98844,0.00889,0.69565,0.00996,0.00588,0.01028,0.80435,0.01672,0.00996,1.13275,1.29661,3.5965,1.04611,0.000159366,0.000159366,0.000159366
4,9.65282,1.11318,1.12102,3.01841,0.92752,0.01111,0.86957,0.38575,0.18682,0.01194,0.93478,0.43548,0.26136,1.106,1.11946,3.42253,0.95133,0.000218693,0.000218693,0.000218693
5,11.6726,1.21327,1.14866,2.53314,0.95491,0.01167,0.91304,0.56683,0.22821,0.01194,0.93478,0.63199,0.34991,1.13803,1.01806,3.37943,0.95128,0.000277782,0.000277782,0.000277782
6,13.7264,1.14863,1.09338,1.9782,0.96747,0.01167,0.91304,0.36617,0.13257,0.01194,0.93478,0.40081,0.19775,1.25031,1.09619,3.48781,1.0118,0.000336634,0.000336634,0.000336634
7,15.7095,1.09584,0.98293,1.86496,0.94896,0.01167,0.91304,0.2659,0.11538,0.01194,0.93478,0.27391,0.14277,1.25325,1.22523,3.53273,1.04592,0.000395248,0.000395248,0.000395248
8,17.7925,1.21264,1.22817,1.72341,1.01018,0.01167,0.91304,0.0868,0.03709,0.01167,0.91304,0.11121,0.06117,1.22435,1.17701,3.55638,1.05348,0.000453624,0.000453624,0.000453624
9,19.7835,1.14206,1.01791,1.71443,0.97895,0.01139,0.8913,0.01578,0.00786,0.01167,0.91304,0.01682,0.0097,1.38088,1.48482,3.60907,1.11688,0.000511763,0.000511763,0.000511763
10,21.7076,1.03159,0.98456,1.59155,0.96231,0.01167,0.91304,0.01614,0.00811,0.01194,0.93478,0.01679,0.01015,1.41534,1.44274,3.61512,1.12916,0.000569664,0.000569664,0.000569664
11,23.7042,1.05194,0.95028,1.52892,0.96838,0.01111,0.86957,0.01502,0.00918,0.01139,0.8913,0.01563,0.00988,1.2408,1.43529,3.62689,1.09429,0.000627328,0.000627328,0.000627328
12,25.6563,1.11524,1.07476,1.49498,1.001,0.00806,0.63043,0.00904,0.00468,0.00972,0.76087,0.01117,0.00655,1.3334,2.05877,3.83209,1.22055,0.000684754,0.000684754,0.000684754
13,27.5958,1.04814,0.95479,1.50165,0.98159,0.00444,0.34783,0.00354,0.00144,0.00889,0.69565,0.0084,0.00428,1.41691,2.85452,3.93611,1.34957,0.000741942,0.000741942,0.000741942
14,29.732,1.07786,0.98334,1.34601,0.95268,0.00556,0.43478,0.00504,0.00202,0.00861,0.67391,0.01001,0.00593,1.39475,2.59365,3.91621,1.35324,0.000798893,0.000798893,0.000798893
15,31.6978,1.0785,0.96561,1.36817,0.94161,0.00917,0.71739,0.01094,0.00477,0.01056,0.82609,0.01408,0.00779,1.42443,2.1661,3.83367,1.3119,0.000855606,0.000855606,0.000855606
16,33.6306,1.04529,0.99027,1.44298,0.94759,0.00944,0.73913,0.01273,0.00609,0.01111,0.86957,0.01491,0.00881,1.26959,1.88491,3.79434,1.23852,0.000912082,0.000912082,0.000912082
17,35.6385,1.04023,1.01845,1.3842,0.9412,0.00917,0.71739,0.01263,0.00565,0.01056,0.82609,0.01493,0.0079,1.28708,1.85024,3.8094,1.21804,0.00096832,0.00096832,0.00096832
18,37.5827,1.02864,0.97968,1.27425,0.9471,0.00944,0.73913,0.01282,0.0057,0.01056,0.82609,0.01491,0.0081,1.23641,1.6444,3.74979,1.16888,0.00102432,0.00102432,0.00102432
19,39.5062,0.98751,0.98739,1.30198,0.94757,0.01028,0.80435,0.01456,0.0078,0.01139,0.8913,0.01727,0.01003,1.15604,1.36112,3.64562,1.10593,0.00108008,0.00108008,0.00108008
20,41.4493,0.97912,1.08305,1.32243,0.92161,0.01,0.78261,0.01356,0.00692,0.01139,0.8913,0.01626,0.00989,1.15822,1.35091,3.63962,1.10135,0.00113561,0.00113561,0.00113561
21,43.5532,0.99542,0.93267,1.319,0.95716,0.01,0.78261,0.01149,0.00622,0.01139,0.8913,0.01479,0.00833,1.19848,1.55205,3.68338,1.12264,0.0011909,0.0011909,0.0011909
22,45.506,1.00616,1.03193,1.26661,0.94589,0.01,0.78261,0.01141,0.00592,0.01056,0.82609,0.01281,0.00723,1.21689,1.47907,3.67009,1.13896,0.00124595,0.00124595,0.00124595
23,47.5058,0.95719,0.92131,1.27895,0.94303,0.01,0.78261,0.01141,0.00584,0.01083,0.84783,0.01333,0.00793,1.19524,1.41074,3.66531,1.12439,0.00130076,0.00130076,0.00130076
24,49.4995,0.99168,0.88968,1.26019,0.93897,0.01167,0.91304,0.02293,0.01079,0.01222,0.95652,0.02428,0.01594,1.16808,1.21252,3.48722,1.0899,0.00135533,0.00135533,0.00135533
25,51.4778,0.96581,0.93564,1.35894,0.94368,0.0125,0.97826,0.14517,0.08666,0.0125,0.97826,0.14574,0.11374,1.25145,1.25232,3.37306,1.08722,0.00140967,0.00140967,0.00140967
26,53.4925,1.08233,0.8629,1.20616,0.93238,0.01222,0.95652,0.32015,0.17541,0.0125,0.97826,0.32088,0.20112,1.25646,1.40584,3.27617,1.07069,0.00146377,0.00146377,0.00146377
27,55.6137,1.04009,0.89219,1.17088,0.94563,0.01194,0.93478,0.58232,0.3573,0.01222,0.95652,0.58343,0.37855,1.22054,1.45179,3.17844,1.06246,0.00151763,0.00151763,0.00151763
28,57.5802,0.9599,0.88446,1.17847,0.9365,0.01194,0.93478,0.65454,0.37872,0.0125,0.97826,0.67652,0.40965,1.16792,1.44617,3.17107,1.02471,0.00157126,0.00157126,0.00157126
