epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,59.5785,1.00171,0.84506,1.16928,0.93649,0.01194,0.93478,0.65454,0.37872,0.0125,0.97826,0.67652,0.40965,1.16792,1.44617,3.17107,1.02471,0.00162464,0.00162464,0.00162464
30,61.5627,0.95297,0.94213,1.21331,0.92877,1,0.32143,0.64502,0.40173,1,0.32143,0.64554,0.34086,1.18722,1.67423,3.06454,1.06152,0.00167779,0.00167779,0.00167779
31,63.5067,0.99799,1.02485,1.27674,0.95446,1,0.13929,0.6771,0.40178,1,0.13929,0.67738,0.37039,1.26289,1.53832,3.04211,1.08152,0.0017307,0.0017307,0.0017307
32,65.5025,0.94256,0.89632,1.18033,0.9138,1,0.31657,0.78351,0.45543,0.93125,0.29484,0.75648,0.42514,1.25973,1.32721,2.81309,1.04904,0.00178338,0.00178338,0.00178338
33,67.5953,0.98844,0.90871,1.17585,0.94409,1,0.31657,0.78351,0.45543,0.93125,0.29484,0.75648,0.42514,1.25973,1.32721,2.81309,1.04904,0.00183581,0.00183581,0.00183581
34,69.6162,0.99377,0.87524,1.1002,0.92827,1,0.4453,0.90968,0.54268,1,0.4453,0.87979,0.52637,1.20167,1.3075,2.55953,1.02438,0.00186932,0.00186932,0.00186932
35,71.6053,0.9689,0.87939,1.10165,0.93567,1,0.50582,0.92974,0.58636,1,0.50582,0.90386,0.5494,1.20543,1.37327,2.47326,1.03319,0.00186536,0.00186536,0.00186536
36,73.6204,0.8806,0.91343,1.07239,0.90449,1,0.78701,0.96638,0.60866,1,0.78701,0.96638,0.62208,1.30127,1.03424,2.16737,1.07453,0.0018614,0.0018614,0.0018614
37,75.5922,0.96832,0.9111,1.0731,0.93335,1,0.78701,0.96638,0.60866,1,0.78701,0.96638,0.62208,1.30127,1.03424,2.16737,1.07453,0.00185744,0.00185744,0.00185744
38,77.6287,0.89616,0.83202,1.00916,0.90329,1,0.83226,0.97062,0.61363,1,0.83226,0.97062,0.65699,1.32565,0.98244,1.94987,1.07045,0.00185348,0.00185348,0.00185348
39,79.7983,0.91711,0.81009,1.01597,0.9181,0.97604,0.93478,0.95163,0.56734,0.99241,0.95652,0.97474,0.65068,1.36994,0.96859,1.73648,1.08631,0.00184952,0.00184952,0.00184952
40,81.8154,0.90953,0.86529,1.05598,0.90334,0.95208,0.91304,0.93461,0.52995,0.98654,0.95652,0.97474,0.66738,1.41903,0.91653,1.55956,1.12163,0.00184556,0.00184556,0.00184556
41,83.7337,0.85362,0.76949,0.99038,0.90421,0.95208,0.91304,0.93461,0.52995,0.98654,0.95652,0.97474,0.66738,1.41903,0.91653,1.55956,1.12163,0.0018416,0.0018416,0.0018416
42,85.7401,0.90214,0.78578,0.97122,0.91173,0.95359,0.89338,0.93935,0.5732,1,0.96702,0.97517,0.65531,1.31356,0.85721,1.45877,1.08456,0.00183764,0.00183764,0.00183764
43,87.7015,0.90265,0.90834,1.02919,0.92644,0.92644,0.86957,0.8432,0.46836,0.98665,0.93478,0.97388,0.60864,1.51339,1.17011,1.35958,1.19614,0.00183368,0.00183368,0.00183368
44,89.673,0.8514,0.91923,0.94406,0.90222,0.93023,0.86952,0.85295,0.47558,0.98908,0.93478,0.9743,0.63382,1.49573,1.02612,1.39274,1.17072,0.00182972,0.00182972,0.00182972
45,91.7531,0.86528,0.80093,1.00109,0.91522,0.93023,0.86952,0.85295,0.47558,0.98908,0.93478,0.9743,0.63382,1.49573,1.02612,1.39274,1.17072,0.00182576,0.00182576,0.00182576
46,93.7634,0.87327,0.83215,0.92954,0.90599,0.9777,0.95329,0.96239,0.53936,1,0.9748,0.97517,0.64502,1.32824,0.93513,1.34482,1.101,0.0018218,0.0018218,0.0018218
47,95.7592,0.88837,0.86269,0.9276,0.90602,0.97772,0.95393,0.95858,0.55492,1,0.9755,0.97517,0.64468,1.26788,0.9644,1.2723,1.08013,0.00181784,0.00181784,0.00181784
48,97.7582,0.84337,0.79017,0.97086,0.88985,0.9777,0.953,0.96064,0.56346,1,0.97474,0.97533,0.647,1.30251,0.97781,1.24838,1.07661,0.00181388,0.00181388,0.00181388
49,99.7222,0.9044,0.76863,0.94291,0.88915,0.9777,0.953,0.96064,0.56346,1,0.97474,0.97533,0.647,1.30251,0.97781,1.24838,1.07661,0.00180992,0.00180992,0.00180992
50,101.732,0.88149,0.75077,0.92714,0.88013,0.97769,0.95268,0.96188,0.59486,1,0.9743,0.97517,0.66927,1.25166,0.98262,1.17153,1.04085,0.00180596,0.00180596,0.00180596
51,103.861,0.85291,0.76306,0.91535,0.89967,0.97817,0.97409,0.96582,0.58015,0.97817,0.97409,0.97474,0.65554,1.26198,0.90316,1.06014,1.02423,0.001802,0.001802,0.001802
52,105.886,0.89539,0.79032,0.8806,0.89731,0.97497,0.97826,0.97104,0.60783,0.97497,0.97826,0.97387,0.67901,1.19836,0.94046,0.94914,1.01494,0.00179804,0.00179804,0.00179804
53,107.856,0.7796,0.76298,0.88335,0.87862,0.97497,0.97826,0.97104,0.60783,0.97497,0.97826,0.97387,0.67901,1.19836,0.94046,0.94914,1.01494,0.00179408,0.00179408,0.00179408
54,109.968,0.80565,0.7198,0.84573,0.87406,0.91481,0.93384,0.91687,0.56948,0.93609,0.95532,0.93412,0.58438,1.27833,1.25443,1.01068,1.05796,0.00179012,0.00179012,0.00179012
55,111.97,0.82491,0.76413,0.90289,0.88862,0.88859,0.8913,0.88782,0.50061,0.88901,0.87062,0.89444,0.50533,1.4124,1.45014,1.14639,1.10201,0.00178616,0.00178616,0.00178616
56,113.998,0.82954,0.74535,0.86579,0.88789,0.91108,0.891,0.92892,0.57058,0.9552,0.92716,0.95395,0.60077,1.25791,1.13018,1.1399,1.0561,0.0017822,0.0017822,0.0017822
57,116.102,0.81325,0.78125,0.84237,0.87905,0.91108,0.891,0.92892,0.57058,0.9552,0.92716,0.95395,0.60077,1.25791,1.13018,1.1399,1.0561,0.00177824,0.00177824,0.00177824
58,118.053,0.82047,0.73747,0.87959,0.89875,0.97015,0.97826,0.96822,0.58033,0.97015,0.97826,0.96822,0.66684,1.25103,0.99082,0.9865,1.06669,0.00177428,0.00177428,0.00177428
59,120.045,0.78785,0.70385,0.84096,0.87543,0.97391,0.97826,0.96998,0.67146,0.97391,0.97826,0.96998,0.66725,1.07655,0.94325,0.88482,1.01617,0.00177032,0.00177032,0.00177032
60,122.079,0.77442,0.76055,0.81996,0.87178,0.95053,0.97826,0.96639,0.64989,0.95053,0.97826,0.96639,0.65089,1.08569,0.95029,0.83621,1.01081,0.00176636,0.00176636,0.00176636
61,124.092,0.76718,0.67317,0.8189,0.87713,0.95053,0.97826,0.96639,0.64989,0.95053,0.97826,0.96639,0.65089,1.08569,0.95029,0.83621,1.01081,0.0017624,0.0017624,0.0017624
62,126.08,0.82887,0.83767,0.83721,0.89837,0.95739,0.97693,0.96791,0.64076,0.95739,0.97693,0.97458,0.64861,1.12894,0.94322,0.81933,0.99993,0.00175844,0.00175844,0.00175844
63,128.182,0.76256,0.71403,0.80288,0.87253,0.97319,0.97826,0.96626,0.62706,0.97319,0.97826,0.97343,0.66111,1.13917,0.94353,0.8131,1.02352,0.00175448,0.00175448,0.00175448
64,130.136,0.83706,0.78088,0.8485,0.89557,0.97131,0.97826,0.96582,0.63425,0.97131,0.97826,0.97343,0.62924,1.11846,0.99109,0.79546,1.02023,0.00175052,0.00175052,0.00175052
65,132.109,0.80461,0.74715,0.79402,0.88077,0.97131,0.97826,0.96582,0.63425,0.97131,0.97826,0.97343,0.62924,1.11846,0.99109,0.79546,1.02023,0.00174656,0.00174656,0.00174656
66,134.07,0.80554,0.7764,0.76734,0.87113,0.97577,0.97826,0.98001,0.65317,0.97577,0.97826,0.97474,0.61631,1.11357,1.12559,0.75578,1.02984,0.0017426,0.0017426,0.0017426
67,136.048,0.81502,0.73152,0.78517,0.8792,0.97865,0.97826,0.97667,0.6212,0.97865,0.97826,0.97517,0.64475,1.15039,1.13665,0.78471,1.0143,0.00173864,0.00173864,0.00173864
68,138.109,0.79942,0.71366,0.7497,0.88299,0.99485,0.97826,0.97631,0.64649,0.99485,0.97826,0.97643,0.65706,1.00952,0.9548,0.76328,0.98125,0.00173468,0.00173468,0.00173468
69,140.227,0.77544,0.7467,0.74341,0.87005,0.99485,0.97826,0.97631,0.64649,0.99485,0.97826,0.97643,0.65706,1.00952,0.9548,0.76328,0.98125,0.00173072,0.00173072,0.00173072
70,142.211,0.74754,0.68473,0.76468,0.87935,0.97332,0.95652,0.94692,0.65223,0.97788,0.96108,0.97638,0.65332,1.02072,0.94742,0.75778,0.98611,0.00172676,0.00172676,0.00172676
71,144.186,0.74344,0.65019,0.72793,0.86491,0.97499,0.95652,0.95722,0.66512,0.99493,0.95652,0.97392,0.63774,1.12129,1.07296,0.75531,1.02254,0.0017228,0.0017228,0.0017228
72,146.153,0.77227,0.8261,0.74099,0.89426,0.95727,0.9742,0.9641,0.70721,0.95727,0.9742,0.97552,0.66336,1.05619,1.03927,0.7265,0.98362,0.00171884,0.00171884,0.00171884
73,148.134,0.75942,0.74502,0.73647,0.86541,0.95727,0.9742,0.9641,0.70721,0.95727,0.9742,0.97552,0.66336,1.05619,1.03927,0.7265,0.98362,0.00171488,0.00171488,0.00171488
74,150.165,0.7599,0.75514,0.72362,0.86368,0.95513,0.97826,0.96519,0.68871,0.95513,0.97826,0.97188,0.66547,1.07313,0.97695,0.71741,0.9906,0.00171092,0.00171092,0.00171092
75,152.144,0.75486,0.6567,0.7272,0.85841,0.957,0.97826,0.95836,0.63243,0.97414,0.97826,0.96343,0.64642,1.1342,0.97859,0.72193,0.99369,0.00170696,0.00170696,0.00170696
76,154.286,0.79846,0.76883,0.71911,0.86397,0.94881,0.95652,0.95766,0.64947,0.97037,0.97826,0.96343,0.66292,1.10099,0.97887,0.72306,1.00214,0.001703,0.001703,0.001703
77,156.237,0.73339,0.71422,0.70329,0.86955,0.94881,0.95652,0.95766,0.64947,0.97037,0.97826,0.96343,0.66292,1.10099,0.97887,0.72306,1.00214,0.00169904,0.00169904,0.00169904
78,158.201,0.79522,0.82244,0.72228,0.87428,0.93528,0.97826,0.96764,0.6944,0.97125,0.97826,0.97104,0.71117,1.02747,0.9363,0.69809,0.97816,0.00169508,0.00169508,0.00169508
79,160.184,0.77163,0.68475,0.70707,0.85752,0.95731,0.97508,0.96963,0.67615,0.96866,0.97826,0.97387,0.70157,1.04416,0.93919,0.68359,0.97818,0.00169112,0.00169112,0.00169112
80,162.167,0.70933,0.61875,0.6832,0.86457,0.93351,0.95652,0.96241,0.67545,0.94897,0.95652,0.96889,0.67829,1.03366,0.92392,0.6615,0.98978,0.00168716,0.00168716,0.00168716
81,164.109,0.71566,0.72624,0.68854,0.86854,0.93351,0.95652,0.96241,0.67545,0.94897,0.95652,0.96889,0.67829,1.03366,0.92392,0.6615,0.98978,0.0016832,0.0016832,0.0016832
82,166.207,0.69049,0.65836,0.66625,0.85519,0.93509,0.97826,0.96151,0.649,0.93509,0.97826,0.97009,0.67407,1.05614,0.92293,0.68616,1.03173,0.00167924,0.00167924,0.00167924
83,168.214,0.72447,0.73747,0.69123,0.86832,0.93532,0.97826,0.964,0.68068,0.93532,0.97826,0.97063,0.68195,1.02279,0.90601,0.68312,1.00385,0.00167528,0.00167528,0.00167528
84,170.196,0.68896,0.76228,0.67492,0.85741,0.95644,0.97826,0.96879,0.66544,0.95644,0.97826,0.97099,0.69114,1.025,0.90353,0.64635,1.01628,0.00167132,0.00167132,0.00167132
85,172.14,0.72158,0.67278,0.66238,0.85442,0.95644,0.97826,0.96879,0.66544,0.95644,0.97826,0.97099,0.69114,1.025,0.90353,0.64635,1.01628,0.00166736,0.00166736,0.00166736
86,174.125,0.73411,0.70841,0.66247,0.85529,0.93746,0.97755,0.96099,0.63609,0.93746,0.97755,0.96926,0.67826,1.08885,0.917,0.68407,1.06293,0.0016634,0.0016634,0.0016634
87,176.096,0.69293,0.67417,0.65826,0.84469,0.91758,0.97826,0.94835,0.63798,0.94711,0.95652,0.95869,0.67635,1.07177,0.91506,0.6971,1.07022,0.00165944,0.00165944,0.00165944
88,178.225,0.7102,0.71682,0.65064,0.85725,0.9574,0.97723,0.9455,0.6396,0.9574,0.97723,0.9455,0.69563,1.0922,0.90346,0.6983,1.07888,0.00165548,0.00165548,0.00165548
89,180.158,0.74129,0.66994,0.68447,0.87235,0.9574,0.97723,0.9455,0.6396,0.9574,0.97723,0.9455,0.69563,1.0922,0.90346,0.6983,1.07888,0.00165152,0.00165152,0.00165152
90,182.107,0.69313,0.71413,0.65185,0.85431,0.94416,0.97826,0.9547,0.659,0.94416,0.97826,0.9547,0.67858,1.09009,0.89534,0.65582,1.06014,0.00164756,0.00164756,0.00164756
91,184.077,0.68836,0.67056,0.65028,0.84655,0.93416,0.97826,0.95745,0.66673,0.93416,0.97826,0.95745,0.66948,1.06552,0.88662,0.68097,1.03435,0.0016436,0.0016436,0.0016436
92,186.037,0.74153,0.69649,0.67601,0.85515,0.95514,0.97826,0.96153,0.66556,0.95514,0.97826,0.9713,0.69994,1.06435,0.87398,0.69164,1.03288,0.00163964,0.00163964,0.00163964
93,187.987,0.67245,0.6219,0.64047,0.83729,0.95514,0.97826,0.96153,0.66556,0.95514,0.97826,0.9713,0.69994,1.06435,0.87398,0.69164,1.03288,0.00163568,0.00163568,0.00163568
94,190.109,0.72108,0.65718,0.63107,0.8634,0.93358,0.97826,0.9651,0.68417,0.93358,0.97826,0.9651,0.71228,1.09577,0.95894,0.66239,1.05139,0.00163172,0.00163172,0.00163172
95,192.07,0.72395,0.68625,0.64607,0.85999,0.93641,0.97826,0.97431,0.6862,0.93641,0.97826,0.97931,0.72269,1.07574,0.92653,0.67204,1.03082,0.00162776,0.00162776,0.00162776
96,194.131,0.72952,0.74879,0.67002,0.87109,0.91578,0.97826,0.97385,0.69419,0.91578,0.97826,0.9763,0.67979,1.03645,0.87725,0.64047,1.01202,0.0016238,0.0016238,0.0016238
97,196.129,0.74368,0.73173,0.64033,0.86449,0.91578,0.97826,0.97385,0.69419,0.91578,0.97826,0.9763,0.67979,1.03645,0.87725,0.64047,1.01202,0.00161984,0.00161984,0.00161984
98,198.143,0.70635,0.67989,0.66684,0.85164,0.95976,0.97826,0.97318,0.69414,0.95976,0.97826,0.97318,0.7131,1.01358,0.87238,0.65311,0.98987,0.00161588,0.00161588,0.00161588
99,200.28,0.71747,0.65947,0.63296,0.85223,0.95324,0.97826,0.97344,0.68098,0.95324,0.97826,0.97344,0.72399,1.02055,0.89517,0.68571,0.99418,0.00161192,0.00161192,0.00161192
100,202.313,0.71036,0.68725,0.63427,0.83444,0.95726,0.97392,0.97433,0.69197,0.95726,0.97392,0.97433,0.72127,0.99851,0.84789,0.6879,0.99642,0.00160796,0.00160796,0.00160796
101,204.374,0.6949,0.66767,0.63904,0.84492,0.95726,0.97392,0.97433,0.69197,0.95726,0.97392,0.97433,0.72127,0.99851,0.84789,0.6879,0.99642,0.001604,0.001604,0.001604
102,206.436,0.75121,0.70475,0.64014,0.86284,0.95733,0.97541,0.97801,0.70144,0.95733,0.97541,0.97801,0.73356,0.97365,0.81124,0.64394,0.97771,0.00160004,0.00160004,0.00160004
103,208.524,0.68898,0.65466,0.60565,0.85114,0.95259,0.97826,0.97993,0.67755,0.95259,0.97826,0.97993,0.7112,0.96437,0.83877,0.63131,0.96999,0.00159608,0.00159608,0.00159608
104,210.534,0.66094,0.63236,0.5953,0.85017,0.95726,0.97376,0.97327,0.66427,0.95726,0.97376,0.97551,0.7114,1.00457,0.83543,0.64282,0.96888,0.00159212,0.00159212,0.00159212
105,212.655,0.64944,0.58921,0.59675,0.84289,0.95726,0.97376,0.97327,0.66427,0.95726,0.97376,0.97551,0.7114,1.00457,0.83543,0.64282,0.96888,0.00158816,0.00158816,0.00158816
106,214.671,0.66769,0.66362,0.60207,0.83342,0.95473,0.97826,0.97096,0.6725,0.95473,0.97826,0.97639,0.66521,1.04289,0.8384,0.60788,0.98036,0.0015842,0.0015842,0.0015842
107,216.686,0.67987,0.65691,0.60317,0.85992,0.95679,0.97826,0.97689,0.65981,0.95679,0.97826,0.98015,0.68542,1.08193,0.87851,0.60751,1.00443,0.00158024,0.00158024,0.00158024
108,218.675,0.69363,0.65813,0.6206,0.84507,0.9525,0.97826,0.97786,0.66863,0.9525,0.97826,0.98141,0.69304,1.0728,0.91305,0.6289,1.00028,0.00157628,0.00157628,0.00157628
109,220.638,0.67911,0.69422,0.5972,0.85425,0.9525,0.97826,0.97786,0.66863,0.9525,0.97826,0.98141,0.69304,1.0728,0.91305,0.6289,1.00028,0.00157232,0.00157232,0.00157232
110,222.611,0.67801,0.61564,0.59164,0.83944,0.95417,0.97826,0.97928,0.64049,0.95417,0.97826,0.98309,0.65851,1.13772,0.94877,0.64883,1.02775,0.00156836,0.00156836,0.00156836
111,224.586,0.68645,0.663,0.60236,0.8355,0.95568,0.97826,0.98027,0.65185,0.97396,0.95652,0.9836,0.69065,1.07419,0.93514,0.62287,1.00616,0.0015644,0.0015644,0.0015644
112,226.699,0.6469,0.64596,0.59181,0.83646,0.95556,0.97826,0.98173,0.67375,0.95556,0.97826,0.9832,0.69042,1.00695,0.90014,0.62213,1.00347,0.00156044,0.00156044,0.00156044
113,228.677,0.69951,0.63202,0.59955,0.84128,0.95556,0.97826,0.98173,0.67375,0.95556,0.97826,0.9832,0.69042,1.00695,0.90014,0.62213,1.00347,0.00155648,0.00155648,0.00155648
114,230.687,0.69906,0.65711,0.62055,0.86388,0.95544,0.97826,0.98208,0.6674,0.95544,0.97826,0.98208,0.69172,1.02233,0.85371,0.6212,1.01182,0.00155252,0.00155252,0.00155252
115,232.704,0.69964,0.58474,0.61533,0.84314,0.95734,0.97576,0.97598,0.6777,0.95734,0.97576,0.97658,0.70295,0.98953,0.92876,0.60831,0.9968,0.00154856,0.00154856,0.00154856
116,234.731,0.67117,0.59669,0.5995,0.83665,0.91349,0.95652,0.93192,0.64327,0.93425,0.97826,0.96752,0.66522,1.06629,1.10811,0.62909,1.02468,0.0015446,0.0015446,0.0015446
117,236.665,0.67867,0.60058,0.59816,0.83728,0.91349,0.95652,0.93192,0.64327,0.93425,0.97826,0.96752,0.66522,1.06629,1.10811,0.62909,1.02468,0.00154064,0.00154064,0.00154064
118,238.638,0.67999,0.62093,0.60545,0.85224,0.89618,0.93829,0.92838,0.64591,0.91834,0.95652,0.95659,0.66222,1.10758,1.16448,0.63275,1.04384,0.00153668,0.00153668,0.00153668
119,240.766,0.68393,0.63142,0.60132,0.84651,0.93143,0.97826,0.9625,0.6628,0.93684,0.96754,0.96292,0.66183,1.05261,1.19365,0.67298,1.03309,0.00153272,0.00153272,0.00153272
120,242.743,0.65036,0.64982,0.57914,0.85378,0.93153,0.97826,0.97377,0.67678,0.95722,0.9729,0.9756,0.66356,1.04926,1.21099,0.7261,1.04635,0.00152876,0.00152876,0.00152876
121,244.668,0.72993,0.62287,0.63227,0.84495,0.93153,0.97826,0.97377,0.67678,0.95722,0.9729,0.9756,0.66356,1.04926,1.21099,0.7261,1.04635,0.0015248,0.0015248,0.0015248
122,246.624,0.64286,0.63591,0.58822,0.83944,0.95064,0.97826,0.97655,0.68481,0.9653,0.97826,0.97738,0.67273,1.06025,1.2297,0.6637,1.04121,0.00152084,0.00152084,0.00152084
123,248.637,0.67147,0.71451,0.58759,0.8496,0.93605,0.97826,0.97462,0.65551,0.97945,0.93478,0.97543,0.67823,1.03628,1.16936,0.61155,1.0437,0.00151688,0.00151688,0.00151688
124,250.633,0.67959,0.59867,0.58175,0.84309,0.93623,0.97826,0.97776,0.6701,0.93623,0.97826,0.97992,0.66991,1.05018,0.99467,0.63517,1.04892,0.00151292,0.00151292,0.00151292
125,252.728,0.6276,0.66267,0.57263,0.85096,0.93623,0.97826,0.97776,0.6701,0.93623,0.97826,0.97992,0.66991,1.05018,0.99467,0.63517,1.04892,0.00150896,0.00150896,0.00150896
126,254.668,0.66858,0.58156,0.56651,0.86859,0.93262,0.97826,0.98175,0.65906,0.93262,0.97826,0.98381,0.64477,1.07976,0.96549,0.64227,1.05872,0.001505,0.001505,0.001505
127,256.617,0.68281,0.60891,0.5779,0.85314,0.95587,0.97826,0.98393,0.67107,0.95587,0.97826,0.98679,0.65613,1.0278,0.8863,0.66206,1.04391,0.00150104,0.00150104,0.00150104
128,258.581,0.63435,0.61656,0.55282,0.83229,0.95603,0.97826,0.98395,0.67282,0.95603,0.97826,0.9852,0.69513,1.05216,0.84134,0.66324,1.0455,0.00149708,0.00149708,0.00149708
129,260.51,0.60751,0.61078,0.52934,0.84019,0.95603,0.97826,0.98395,0.67282,0.95603,0.97826,0.9852,0.69513,1.05216,0.84134,0.66324,1.0455,0.00149312,0.00149312,0.00149312
130,262.473,0.65179,0.62816,0.55645,0.83937,0.95639,0.95652,0.9771,0.6709,0.97826,0.97823,0.98007,0.70482,1.07578,0.9124,0.65171,1.04653,0.00148916,0.00148916,0.00148916
131,264.571,0.64471,0.59,0.55523,0.82584,0.97052,0.97826,0.97596,0.65277,0.97052,0.97826,0.97944,0.69354,1.03783,0.89836,0.63425,1.04244,0.0014852,0.0014852,0.0014852
