epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,211.395,1.43653,0.98168,1.24076,0.57162,0.54717,0.53893,0.17869,2.39964,1.70035,2.02912,0.0017426,0.0017426,0.0017426
67,213.752,1.37568,0.97973,1.25814,0.55908,0.46226,0.4575,0.14344,2.50197,1.93905,2.16358,0.00173864,0.00173864,0.00173864
68,216.067,1.42741,0.97194,1.24643,0.60923,0.44125,0.44199,0.13889,2.48839,2.0712,2.21946,0.00173468,0.00173468,0.00173468
69,218.379,1.37965,0.97985,1.22722,0.60923,0.44125,0.44199,0.13889,2.48839,2.0712,2.21946,0.00173072,0.00173072,0.00173072
70,220.582,1.41128,1.01702,1.256,0.52852,0.34906,0.36471,0.1163,2.56863,2.3124,2.34306,0.00172676,0.00172676,0.00172676
71,222.933,1.41113,0.98749,1.25465,0.66513,0.25472,0.27447,0.09391,2.60692,2.52802,2.43686,0.0017228,0.0017228,0.0017228
72,225.654,1.38386,0.92986,1.23273,0.72724,0.28302,0.33739,0.10236,2.58409,2.44888,2.37167,0.00171884,0.00171884,0.00171884
73,228.315,1.4255,0.95441,1.22127,0.72724,0.28302,0.33739,0.10236,2.58409,2.44888,2.37167,0.00171488,0.00171488,0.00171488
74,230.672,1.39218,0.95232,1.21491,0.70629,0.32075,0.37157,0.12704,2.53875,2.1864,2.27029,0.00171092,0.00171092,0.00171092
75,232.983,1.37565,0.9592,1.20131,0.70401,0.39623,0.4466,0.14785,2.57211,1.85323,2.30118,0.00170696,0.00170696,0.00170696
76,235.434,1.36018,0.94949,1.22855,0.5828,0.48763,0.49401,0.15994,2.5517,1.70035,2.26163,0.001703,0.001703,0.001703
77,237.702,1.44015,0.93476,1.2613,0.5828,0.48763,0.49401,0.15994,2.5517,1.70035,2.26163,0.00169904,0.00169904,0.00169904
78,239.991,1.38313,0.91057,1.22065,0.56637,0.56604,0.53492,0.16347,2.58134,1.59855,2.24764,0.00169508,0.00169508,0.00169508
79,242.388,1.42103,0.94674,1.25514,0.60118,0.48113,0.4713,0.15243,2.5786,1.69011,2.25613,0.00169112,0.00169112,0.00169112
80,244.787,1.38164,0.90228,1.19144,0.63268,0.49057,0.49654,0.15407,2.54493,1.73861,2.23513,0.00168716,0.00168716,0.00168716
81,246.985,1.36524,0.91392,1.18696,0.63268,0.49057,0.49654,0.15407,2.54493,1.73861,2.23513,0.0016832,0.0016832,0.0016832
82,249.414,1.33446,0.9175,1.22503,0.54583,0.54717,0.51306,0.16777,2.52362,1.68574,2.18491,0.00167924,0.00167924,0.00167924
83,251.709,1.35719,0.90455,1.19024,0.63898,0.5566,0.5481,0.16151,2.6204,1.58846,2.20833,0.00167528,0.00167528,0.00167528
84,254.24,1.36963,0.93504,1.24549,0.73583,0.5,0.5719,0.18145,2.6324,1.55708,2.22819,0.00167132,0.00167132,0.00167132
85,256.551,1.37989,0.93593,1.21366,0.73583,0.5,0.5719,0.18145,2.6324,1.55708,2.22819,0.00166736,0.00166736,0.00166736
86,258.914,1.28109,0.88318,1.15548,0.63089,0.49986,0.50229,0.17493,2.52474,1.73729,2.23984,0.0016634,0.0016634,0.0016634
87,261.294,1.31134,0.90464,1.20725,0.68209,0.46226,0.5126,0.16873,2.47344,1.70677,2.21024,0.00165944,0.00165944,0.00165944
88,263.708,1.31095,0.88852,1.19517,0.61776,0.5,0.51075,0.16467,2.48151,1.6787,2.18527,0.00165548,0.00165548,0.00165548
89,266.081,1.30655,0.87589,1.1677,0.61776,0.5,0.51075,0.16467,2.48151,1.6787,2.18527,0.00165152,0.00165152,0.00165152
90,268.487,1.2845,0.92255,1.20327,0.59186,0.51887,0.4933,0.15927,2.4976,1.78683,2.22911,0.00164756,0.00164756,0.00164756
91,270.8,1.29526,0.85649,1.14719,0.55597,0.53774,0.47092,0.15571,2.56808,1.68115,2.25418,0.0016436,0.0016436,0.0016436
92,273.107,1.27283,0.88455,1.16724,0.5854,0.53774,0.50695,0.16215,2.53596,1.57587,2.24253,0.00163964,0.00163964,0.00163964
93,275.409,1.20873,0.83356,1.14203,0.5854,0.53774,0.50695,0.16215,2.53596,1.57587,2.24253,0.00163568,0.00163568,0.00163568
94,277.766,1.31333,0.86874,1.1558,0.55349,0.63149,0.52245,0.16704,2.53117,1.51933,2.23345,0.00163172,0.00163172,0.00163172
95,280.173,1.22335,0.81017,1.14053,0.5599,0.62264,0.52983,0.17676,2.5268,1.51745,2.23286,0.00162776,0.00162776,0.00162776
96,282.487,1.22914,0.83595,1.12272,0.59686,0.66981,0.54346,0.16138,2.56137,1.51899,2.21377,0.0016238,0.0016238,0.0016238
97,285.002,1.23634,0.8576,1.15498,0.59686,0.66981,0.54346,0.16138,2.56137,1.51899,2.21377,0.00161984,0.00161984,0.00161984
98,288.23,1.30073,0.91107,1.18072,0.66017,0.66981,0.57041,0.16698,2.59733,1.45444,2.17985,0.00161588,0.00161588,0.00161588
99,290.974,1.22118,0.80921,1.14128,0.63936,0.66038,0.5672,0.18142,2.61953,1.44531,2.21539,0.00161192,0.00161192,0.00161192
100,293.57,1.26425,0.83077,1.14573,0.66047,0.66038,0.58447,0.17623,2.58908,1.40234,2.24659,0.00160796,0.00160796,0.00160796
101,296.058,1.21111,0.80945,1.13717,0.66047,0.66038,0.58447,0.17623,2.58908,1.40234,2.24659,0.001604,0.001604,0.001604
102,298.668,1.24805,0.81992,1.16765,0.67289,0.66038,0.63972,0.21576,2.46003,1.31013,2.10447,0.00160004,0.00160004,0.00160004
103,301.231,1.22582,0.81782,1.1293,0.59389,0.69811,0.62663,0.20437,2.49582,1.35444,2.12683,0.00159608,0.00159608,0.00159608
104,304.563,1.16666,0.80349,1.12337,0.67246,0.65094,0.62595,0.19734,2.54603,1.36056,2.17153,0.00159212,0.00159212,0.00159212
105,308.058,1.16467,0.7976,1.11356,0.67246,0.65094,0.62595,0.19734,2.54603,1.36056,2.17153,0.00158816,0.00158816,0.00158816
106,311.381,1.17671,0.7753,1.10521,0.67012,0.61321,0.58991,0.18638,2.57551,1.42601,2.24785,0.0015842,0.0015842,0.0015842
107,314.298,1.15398,0.76829,1.10825,0.66805,0.68352,0.59644,0.18914,2.52066,1.44136,2.19704,0.00158024,0.00158024,0.00158024
108,316.952,1.17457,0.77796,1.10267,0.65141,0.72281,0.62349,0.20505,2.46398,1.32856,2.10557,0.00157628,0.00157628,0.00157628
109,319.447,1.20272,0.74484,1.10816,0.65141,0.72281,0.62349,0.20505,2.46398,1.32856,2.10557,0.00157232,0.00157232,0.00157232
110,321.996,1.16909,0.79773,1.10321,0.62249,0.71698,0.64872,0.20408,2.47201,1.3374,2.05383,0.00156836,0.00156836,0.00156836
111,324.634,1.18266,0.76208,1.11873,0.65835,0.59994,0.55488,0.17516,2.51798,1.42753,2.06721,0.0015644,0.0015644,0.0015644
112,327.281,1.1866,0.80353,1.1077,0.66209,0.5566,0.5599,0.16807,2.52177,1.52446,2.10256,0.00156044,0.00156044,0.00156044
113,329.729,1.16885,0.77091,1.12703,0.66209,0.5566,0.5599,0.16807,2.52177,1.52446,2.10256,0.00155648,0.00155648,0.00155648
114,332.299,1.14409,0.79123,1.12317,0.62136,0.54717,0.50039,0.1571,2.53985,1.57971,2.15179,0.00155252,0.00155252,0.00155252
115,334.936,1.15189,0.76037,1.0908,0.60418,0.58491,0.51569,0.15966,2.57533,1.54177,2.17375,0.00154856,0.00154856,0.00154856
116,337.46,1.20645,0.79491,1.13086,0.58071,0.53774,0.46171,0.14743,2.55987,1.64768,2.23809,0.0015446,0.0015446,0.0015446
117,340.314,1.14657,0.7716,1.11116,0.58071,0.53774,0.46171,0.14743,2.55987,1.64768,2.23809,0.00154064,0.00154064,0.00154064
118,344.153,1.11973,0.7493,1.1072,0.50423,0.5566,0.45313,0.15221,2.58096,1.61859,2.34219,0.00153668,0.00153668,0.00153668
119,347.557,1.14831,0.78331,1.10068,0.57255,0.64151,0.51068,0.15939,2.61259,1.63314,2.33772,0.00153272,0.00153272,0.00153272
120,350.6,1.17647,0.78108,1.11259,0.5777,0.50943,0.46397,0.15009,2.55936,1.77059,2.28519,0.00152876,0.00152876,0.00152876
121,353.115,1.14331,0.75254,1.09883,0.5777,0.50943,0.46397,0.15009,2.55936,1.77059,2.28519,0.0015248,0.0015248,0.0015248
122,355.591,1.10043,0.74933,1.06902,0.58388,0.53774,0.48521,0.14716,2.55586,1.69679,2.2839,0.00152084,0.00152084,0.00152084
123,358.1,1.10816,0.75751,1.10931,0.62233,0.67925,0.57531,0.18081,2.53497,1.4518,2.2826,0.00151688,0.00151688,0.00151688
124,360.6,1.14087,0.76331,1.12338,0.6567,0.66981,0.57504,0.18635,2.55866,1.3832,2.31876,0.00151292,0.00151292,0.00151292
125,363.015,1.09408,0.72218,1.06216,0.6567,0.66981,0.57504,0.18635,2.55866,1.3832,2.31876,0.00150896,0.00150896,0.00150896
126,365.5,1.09421,0.71693,1.07123,0.65122,0.62264,0.5893,0.16515,2.56037,1.38183,2.28888,0.001505,0.001505,0.001505
127,367.988,1.11669,0.74594,1.09621,0.63792,0.62264,0.54981,0.16202,2.55447,1.39752,2.29422,0.00150104,0.00150104,0.00150104
128,370.586,1.10754,0.73651,1.08148,0.65115,0.61321,0.60143,0.17824,2.56367,1.5054,2.34992,0.00149708,0.00149708,0.00149708
129,372.913,1.10639,0.73462,1.09022,0.65115,0.61321,0.60143,0.17824,2.56367,1.5054,2.34992,0.00149312,0.00149312,0.00149312
130,375.511,1.11711,0.737,1.08478,0.61198,0.6547,0.61434,0.17955,2.59294,1.45473,2.37425,0.00148916,0.00148916,0.00148916
131,378.092,1.07134,0.69794,1.0666,0.61488,0.67925,0.64238,0.19023,2.56082,1.29635,2.30168,0.0014852,0.0014852,0.0014852
132,380.678,1.05271,0.70028,1.03444,0.6344,0.70393,0.6026,0.18857,2.55892,1.3375,2.27408,0.00148124,0.00148124,0.00148124
133,383.088,1.01352,0.68117,1.03112,0.6344,0.70393,0.6026,0.18857,2.55892,1.3375,2.27408,0.00147728,0.00147728,0.00147728
134,385.577,1.10221,0.73314,1.07042,0.63976,0.70755,0.62523,0.19044,2.56457,1.33881,2.27269,0.00147332,0.00147332,0.00147332
135,388.197,1.04696,0.67531,1.05703,0.65176,0.64151,0.60983,0.1838,2.58986,1.34732,2.30597,0.00146936,0.00146936,0.00146936
136,391.015,1.11395,0.72798,1.09857,0.68241,0.61321,0.62666,0.18086,2.56342,1.33084,2.27917,0.0014654,0.0014654,0.0014654
137,393.575,1.08166,0.71016,1.07929,0.68241,0.61321,0.62666,0.18086,2.56342,1.33084,2.27917,0.00146144,0.00146144,0.00146144
138,396.155,1.05636,0.703,1.05087,0.65337,0.65797,0.63833,0.19623,2.49678,1.42962,2.19347,0.00145748,0.00145748,0.00145748
139,398.798,1.06752,0.75464,1.06099,0.6561,0.64151,0.64123,0.19267,2.54407,1.39005,2.21149,0.00145352,0.00145352,0.00145352
140,401.404,1.03162,0.71561,1.05465,0.64687,0.68868,0.66414,0.18698,2.56437,1.2879,2.22075,0.00144956,0.00144956,0.00144956
141,403.835,1.08891,0.73036,1.09105,0.64687,0.68868,0.66414,0.18698,2.56437,1.2879,2.22075,0.0014456,0.0014456,0.0014456
142,406.905,1.01557,0.69014,1.03181,0.6367,0.71698,0.66295,0.19167,2.54037,1.26788,2.21839,0.00144164,0.00144164,0.00144164
143,409.819,1.01104,0.68344,1.0476,0.59758,0.68645,0.59085,0.1922,2.57437,1.30241,2.31202,0.00143768,0.00143768,0.00143768
144,412.34,0.9586,0.64547,1.01516,0.54438,0.66981,0.53465,0.18797,2.57942,1.3151,2.33733,0.00143372,0.00143372,0.00143372
145,414.786,1.01194,0.6734,1.03523,0.54438,0.66981,0.53465,0.18797,2.57942,1.3151,2.33733,0.00142976,0.00142976,0.00142976
146,417.393,0.98777,0.69383,1.03206,0.63192,0.68868,0.60366,0.20199,2.55623,1.28174,2.30576,0.0014258,0.0014258,0.0014258
147,419.963,0.97621,0.65689,1.02297,0.71274,0.66981,0.6549,0.20092,2.5355,1.25984,2.30343,0.00142184,0.00142184,0.00142184
148,422.564,0.98071,0.6566,1.01233,0.63751,0.62264,0.58641,0.18248,2.56358,1.42418,2.38087,0.00141788,0.00141788,0.00141788
149,425.84,1.0678,0.69018,1.07853,0.63751,0.62264,0.58641,0.18248,2.56358,1.42418,2.38087,0.00141392,0.00141392,0.00141392
150,429.151,1.03713,0.64954,1.03493,0.57061,0.66981,0.60616,0.18641,2.58189,1.4698,2.39968,0.00140996,0.00140996,0.00140996
151,432.199,1.0325,0.67505,1.04832,0.61987,0.67691,0.59381,0.17312,2.59617,1.45626,2.38924,0.001406,0.001406,0.001406
152,435.156,1.0534,0.67912,1.05765,0.67989,0.64151,0.60137,0.1837,2.57677,1.46033,2.36574,0.00140204,0.00140204,0.00140204
153,438.867,1.02037,0.67062,1.04096,0.67989,0.64151,0.60137,0.1837,2.57677,1.46033,2.36574,0.00139808,0.00139808,0.00139808
154,442.008,1.00079,0.65682,1.02638,0.74462,0.53774,0.60336,0.18476,2.58823,1.46247,2.32879,0.00139412,0.00139412,0.00139412
155,444.754,0.96327,0.6432,1.02556,0.7002,0.59434,0.58649,0.19133,2.58217,1.39971,2.31119,0.00139016,0.00139016,0.00139016
156,447.639,1.01557,0.64435,1.03475,0.71336,0.60377,0.59936,0.19909,2.54789,1.34478,2.2371,0.0013862,0.0013862,0.0013862
157,450.617,0.98743,0.64897,1.01918,0.71336,0.60377,0.59936,0.19909,2.54789,1.34478,2.2371,0.00138224,0.00138224,0.00138224
158,453.758,1.0107,0.63806,1.02596,0.71058,0.64151,0.61556,0.20134,2.5077,1.33181,2.18109,0.00137828,0.00137828,0.00137828
159,456.528,0.96734,0.6387,1.00538,0.70025,0.62264,0.61011,0.19592,2.49167,1.3714,2.14814,0.00137432,0.00137432,0.00137432
160,459.149,0.99003,0.63926,1.01209,0.69037,0.56795,0.56898,0.18261,2.58973,1.35782,2.26616,0.00137036,0.00137036,0.00137036
