epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7697,1.97236,3.04658,1.75226,0.01844,0.78302,0.03171,0.0111,2.12362,3.16088,1.94003,4e-05,4e-05,4e-05
2,54.2995,2.09446,3.14084,1.75134,0.01822,0.77358,0.04347,0.01242,2.08843,3.13865,1.90703,9.9802e-05,9.9802e-05,9.9802e-05
3,56.8323,1.95836,3.07252,1.65762,0.02,0.84906,0.1598,0.04562,2.06308,3.03146,1.74473,0.000159366,0.000159366,0.000159366
4,59.428,1.85647,2.85297,1.53862,0.02111,0.89623,0.38207,0.12783,2.09755,2.80261,1.56425,0.000218693,0.000218693,0.000218693
5,61.9583,1.87969,2.61,1.48039,0.02067,0.87736,0.35636,0.10957,2.25049,2.71987,1.51456,0.000277782,0.000277782,0.000277782
6,64.437,1.81918,2.32399,1.43109,0.02044,0.86792,0.38097,0.12132,2.27893,2.6565,1.50327,0.000336634,0.000336634,0.000336634
7,67.0829,1.87587,2.2231,1.47118,0.022,0.93396,0.46299,0.15191,2.16369,2.58324,1.45099,0.000395248,0.000395248,0.000395248
8,69.705,1.85958,2.04568,1.45405,0.02156,0.91509,0.48304,0.17408,2.09742,2.57031,1.42713,0.000453624,0.000453624,0.000453624
9,72.5279,1.8695,1.87051,1.46483,0.06201,0.75468,0.49045,0.16983,2.08539,2.59583,1.47455,0.000511763,0.000511763,0.000511763
10,75.0409,1.89578,1.74249,1.46666,0.76746,0.15579,0.42919,0.16624,2.08581,2.59528,1.49429,0.000569664,0.000569664,0.000569664
11,77.631,1.86829,1.68406,1.48322,0.77503,0.26007,0.41713,0.14201,2.07419,2.6189,1.61685,0.000627328,0.000627328,0.000627328
12,80.0499,1.84884,1.59386,1.48958,0.76489,0.24528,0.44539,0.17146,2.09002,2.47702,1.56454,0.000684754,0.000684754,0.000684754
13,82.5589,1.84685,1.52064,1.47966,0.6353,0.33962,0.40739,0.12973,2.17809,2.49691,1.6753,0.000741942,0.000741942,0.000741942
14,84.9536,1.83192,1.47361,1.48306,0.61656,0.38679,0.38207,0.12348,2.20025,2.45246,1.68844,0.000798893,0.000798893,0.000798893
15,87.559,1.8684,1.43451,1.49946,0.60454,0.38679,0.43204,0.1542,2.20048,2.39745,1.68446,0.000855606,0.000855606,0.000855606
16,90.0611,1.80864,1.40369,1.44031,0.57699,0.35849,0.38631,0.10665,2.2562,2.4219,1.75796,0.000912082,0.000912082,0.000912082
17,92.6868,1.75075,1.3807,1.41815,0.62117,0.48113,0.46747,0.14876,2.23792,2.29749,1.74066,0.00096832,0.00096832,0.00096832
18,95.1087,1.86067,1.4786,1.5072,0.65226,0.49551,0.48244,0.16248,2.1609,2.1877,1.66884,0.00102432,0.00102432,0.00102432
19,97.4959,1.75916,1.31685,1.43362,0.54581,0.43084,0.45923,0.14823,2.21692,2.13324,1.74598,0.00108008,0.00108008,0.00108008
20,99.8165,1.82003,1.37391,1.50287,0.54935,0.42453,0.45298,0.14623,2.24931,2.0272,1.80629,0.00113561,0.00113561,0.00113561
21,102.198,1.76867,1.32211,1.46789,0.6051,0.4717,0.42556,0.12819,2.27052,2.06863,1.91042,0.0011909,0.0011909,0.0011909
22,104.677,1.8216,1.36322,1.48504,0.55493,0.43396,0.38722,0.12225,2.25208,2.18807,1.9068,0.00124595,0.00124595,0.00124595
23,107.319,1.76312,1.32285,1.42084,0.48195,0.35849,0.32686,0.10166,2.24777,2.33093,1.88531,0.00130076,0.00130076,0.00130076
24,109.728,1.80623,1.41681,1.48176,0.52718,0.38679,0.42826,0.12743,2.22084,2.27922,1.85922,0.00135533,0.00135533,0.00135533
25,112.152,1.84981,1.3863,1.50711,0.58157,0.40566,0.44267,0.14027,2.2558,2.23657,1.86382,0.00140967,0.00140967,0.00140967
26,114.527,1.72806,1.34975,1.44309,0.53215,0.4434,0.42789,0.12432,2.29733,2.27422,1.87625,0.00146377,0.00146377,0.00146377
27,116.967,1.74449,1.36587,1.46713,0.50025,0.49057,0.42272,0.12426,2.30809,2.12584,1.90577,0.00151763,0.00151763,0.00151763
28,119.373,1.78322,1.31116,1.45044,0.48191,0.43396,0.41388,0.12128,2.40206,2.16679,1.98939,0.00157126,0.00157126,0.00157126
29,121.774,1.67778,1.25582,1.37087,0.48191,0.43396,0.41388,0.12128,2.40206,2.16679,1.98939,0.00162464,0.00162464,0.00162464
30,124.229,1.69742,1.29855,1.4324,0.59735,0.48113,0.45411,0.12798,2.40473,2.16425,1.99572,0.00167779,0.00167779,0.00167779
31,126.488,1.72718,1.27152,1.4638,0.62845,0.53774,0.52554,0.15876,2.32499,2.03683,1.93324,0.0017307,0.0017307,0.0017307
32,128.972,1.73619,1.27226,1.45455,0.62184,0.54717,0.55523,0.15877,2.40061,1.89513,2.03238,0.00178338,0.00178338,0.00178338
33,131.654,1.69763,1.30815,1.41081,0.62184,0.54717,0.55523,0.15877,2.40061,1.89513,2.03238,0.00183581,0.00183581,0.00183581
34,134.042,1.75189,1.27627,1.44344,0.67606,0.4717,0.4904,0.15714,2.34929,2.07982,2.04442,0.00186932,0.00186932,0.00186932
35,136.483,1.75697,1.2918,1.44039,0.64006,0.5704,0.56618,0.18467,2.31665,1.85724,1.94952,0.00186536,0.00186536,0.00186536
36,138.792,1.68966,1.28176,1.39023,0.56643,0.60377,0.54683,0.16709,2.38761,1.77688,2.02803,0.0018614,0.0018614,0.0018614
37,141.111,1.61782,1.22468,1.37262,0.56643,0.60377,0.54683,0.16709,2.38761,1.77688,2.02803,0.00185744,0.00185744,0.00185744
38,143.578,1.6183,1.21146,1.37222,0.74816,0.49057,0.57716,0.16449,2.42803,1.75789,2.0429,0.00185348,0.00185348,0.00185348
39,146.071,1.60113,1.18562,1.36789,0.59257,0.54717,0.53041,0.16378,2.41167,1.74058,2.06446,0.00184952,0.00184952,0.00184952
40,148.461,1.58701,1.18111,1.38346,0.56594,0.54124,0.5056,0.15883,2.41999,1.80038,2.10475,0.00184556,0.00184556,0.00184556
41,150.735,1.64473,1.18559,1.39103,0.56594,0.54124,0.5056,0.15883,2.41999,1.80038,2.10475,0.0018416,0.0018416,0.0018416
42,153.122,1.64508,1.1604,1.37027,0.6101,0.57571,0.57414,0.16583,2.42606,1.71142,2.09839,0.00183764,0.00183764,0.00183764
43,155.481,1.60632,1.14079,1.36301,0.64482,0.61659,0.58801,0.18565,2.46176,1.56864,2.04394,0.00183368,0.00183368,0.00183368
44,157.868,1.61977,1.20776,1.39864,0.62036,0.60377,0.56857,0.16998,2.3682,1.76669,1.95482,0.00182972,0.00182972,0.00182972
45,160.198,1.56396,1.16181,1.34786,0.62036,0.60377,0.56857,0.16998,2.3682,1.76669,1.95482,0.00182576,0.00182576,0.00182576
46,162.512,1.56219,1.16021,1.34037,0.65562,0.50943,0.5125,0.14403,2.41796,1.93623,2.06044,0.0018218,0.0018218,0.0018218
47,165.081,1.54234,1.14367,1.32196,0.56074,0.56604,0.53382,0.16441,2.38946,1.72559,1.9916,0.00181784,0.00181784,0.00181784
48,167.896,1.52437,1.13932,1.29809,0.62299,0.56122,0.56606,0.16568,2.47966,1.6521,2.10807,0.00181388,0.00181388,0.00181388
49,170.278,1.61186,1.13968,1.38007,0.62299,0.56122,0.56606,0.16568,2.47966,1.6521,2.10807,0.00180992,0.00180992,0.00180992
50,172.852,1.5355,1.05258,1.29535,0.5935,0.61983,0.58098,0.18018,2.41594,1.68819,2.1375,0.00180596,0.00180596,0.00180596
51,175.364,1.56864,1.08413,1.32329,0.63602,0.60377,0.55558,0.17851,2.38683,1.65278,2.14687,0.001802,0.001802,0.001802
52,177.783,1.55513,1.07204,1.34704,0.60818,0.57547,0.55076,0.18003,2.39317,1.68566,2.15419,0.00179804,0.00179804,0.00179804
53,180.199,1.43269,1.04323,1.27452,0.60818,0.57547,0.55076,0.18003,2.39317,1.68566,2.15419,0.00179408,0.00179408,0.00179408
54,182.662,1.46793,1.06043,1.27849,0.71912,0.41509,0.48605,0.1646,2.43371,1.82329,2.1748,0.00179012,0.00179012,0.00179012
55,184.964,1.50641,1.06085,1.28407,0.55406,0.54717,0.4717,0.16222,2.40141,1.82822,2.11954,0.00178616,0.00178616,0.00178616
56,187.301,1.48362,1.02019,1.26921,0.64519,0.58491,0.53149,0.18319,2.48967,1.64446,2.11175,0.0017822,0.0017822,0.0017822
57,189.518,1.41484,1.00862,1.27039,0.64519,0.58491,0.53149,0.18319,2.48967,1.64446,2.11175,0.00177824,0.00177824,0.00177824
58,192.137,1.52123,1.05533,1.30282,0.67804,0.59604,0.6266,0.20842,2.43012,1.50806,2.02555,0.00177428,0.00177428,0.00177428
59,194.651,1.48897,1.03228,1.29711,0.67904,0.67861,0.65112,0.2153,2.41023,1.40109,2.0049,0.00177032,0.00177032,0.00177032
60,197.084,1.35964,0.99107,1.24837,0.68457,0.67568,0.66636,0.21402,2.42533,1.41931,1.9865,0.00176636,0.00176636,0.00176636
61,199.514,1.52029,1.01575,1.29161,0.68457,0.67568,0.66636,0.21402,2.42533,1.41931,1.9865,0.0017624,0.0017624,0.0017624
62,201.977,1.48494,1.01933,1.25075,0.66113,0.65094,0.62762,0.19718,2.45029,1.45904,1.99038,0.00175844,0.00175844,0.00175844
63,204.334,1.40526,1.01932,1.26374,0.68682,0.57931,0.56284,0.18634,2.4604,1.56615,2.02424,0.00175448,0.00175448,0.00175448
64,206.721,1.5005,1.01076,1.28891,0.60549,0.5566,0.51932,0.19254,2.39919,1.62321,2.02116,0.00175052,0.00175052,0.00175052
65,209,1.39701,0.9975,1.23963,0.60549,0.5566,0.51932,0.19254,2.39919,1.62321,2.02116,0.00174656,0.00174656,0.00174656
