epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,47.2105,1.44606,1.6891,2.04835,0.98358,0.00889,1,0.12809,0.03722,0.00889,1,0.42436,0.24353,1.09964,1.50285,3.48997,0.89718,0.000246964,0.000246964,0.000246964
31,48.0798,1.33651,1.64427,2.02867,0.96546,0.00889,1,0.08153,0.03038,0.00889,1,0.49367,0.24302,1.10424,1.67432,3.51077,0.90442,0.0002436,0.0002436,0.0002436
32,48.9397,1.45939,1.49676,1.93985,0.95317,0.00889,1,0.08153,0.03038,0.00889,1,0.49367,0.24302,1.10424,1.67432,3.51077,0.90442,0.000239444,0.000239444,0.000239444
33,49.8234,1.34532,1.51678,1.78966,0.93154,0.00889,1,0.08153,0.03038,0.00889,1,0.49367,0.24302,1.10424,1.67432,3.51077,0.90442,0.000234496,0.000234496,0.000234496
34,50.8533,1.33687,1.67911,1.84804,0.99242,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.000228756,0.000228756,0.000228756
35,51.7962,1.3027,1.61167,1.79286,0.99796,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.000222224,0.000222224,0.000222224
36,52.6701,1.40202,1.41933,1.68379,0.91166,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.0002149,0.0002149,0.0002149
37,53.5187,1.37531,1.41662,1.74921,0.92306,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.000206784,0.000206784,0.000206784
38,54.3532,1.4062,1.51397,1.84786,0.97162,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.000197876,0.000197876,0.000197876
39,55.1781,1.50253,1.75715,1.69515,1.0099,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.000188176,0.000188176,0.000188176
40,55.9735,1.33777,1.68732,1.72396,0.96593,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.000177684,0.000177684,0.000177684
41,78.4122,1.32453,1.4727,1.81433,1.05049,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.0001664,0.0001664,0.0001664
42,79.3832,1.26735,1.48111,1.99481,0.96661,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000154324,0.000154324,0.000154324
43,80.2439,1.40382,1.92559,1.83196,0.97628,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000141456,0.000141456,0.000141456
44,81.0571,1.36979,1.60806,1.63777,0.98319,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000127796,0.000127796,0.000127796
45,81.8824,1.3288,1.44868,1.79055,0.97008,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000113344,0.000113344,0.000113344
46,82.7622,1.26314,1.79938,1.80322,0.90772,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,9.81e-05,9.81e-05,9.81e-05
47,83.4765,1.27533,1.36872,1.90963,0.93734,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,8.2064e-05,8.2064e-05,8.2064e-05
48,84.2378,1.19507,1.39539,1.616,0.92637,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,6.5236e-05,6.5236e-05,6.5236e-05
49,85.0498,1.21066,1.54342,1.76448,1.01866,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,4.7616e-05,4.7616e-05,4.7616e-05
50,85.9851,1.44389,1.41105,1.64708,0.9999,0.00889,1,0.05147,0.01789,0.00889,1,0.60968,0.24429,1.15039,1.43222,3.37915,0.92669,2.9204e-05,2.9204e-05,2.9204e-05
1,11.8806,2.03908,2.43557,3.81274,1.20028,0.00444,0.5,0.00385,0.00184,0.00444,0.5,0.00379,0.00213,1.42944,1.99338,3.65946,1.02754,0,0,0
2,12.8251,1.55703,2.31267,3.92777,1.16512,0.00444,0.5,0.0037,0.00169,0.00444,0.5,0.00366,0.00205,1.43681,1.98892,3.66221,1.02949,1.9604e-05,1.9604e-05,1.9604e-05
3,13.5143,1.89661,2.8034,4.10012,1.20982,0.00556,0.625,0.00483,0.00226,0.00444,0.5,0.00352,0.00232,1.45531,1.97682,3.6626,1.0328,3.8416e-05,3.8416e-05,3.8416e-05
