epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,22.5308,1.47602,2.01314,0.64241,1.12547,1.24652,0.93244,0.91667,0.9738,0.4923,0.93244,0.91667,0.96352,0.44356,1.48016,2.57235,0.66731,1.25874,1.28789,0.000182976,0.000182976,0.000182976
14,23.2402,1.39409,1.91906,0.64379,1.03637,1.24811,0.91935,0.95017,0.96031,0.50321,0.91935,0.95017,0.96569,0.43651,1.48107,2.51704,0.66711,1.26325,1.28599,0.000193076,0.000193076,0.000193076
15,23.962,1.4123,2.01446,0.65776,1.02948,1.22511,0.9093,0.95833,0.95903,0.49853,0.9093,0.95833,0.95903,0.45573,1.4958,2.47368,0.66566,1.32965,1.31683,0.000202384,0.000202384,0.000202384
16,24.7244,1.486,1.64174,0.64497,1.00849,1.2569,0.9085,0.95833,0.95949,0.50406,0.9085,0.95833,0.95949,0.46744,1.50766,2.42539,0.66344,1.2631,1.32057,0.0002109,0.0002109,0.0002109
17,25.515,1.44559,1.80648,0.63861,0.98708,1.24613,0.9146,0.95833,0.95849,0.55148,0.9146,0.95833,0.95849,0.45573,1.36503,2.42545,0.66076,1.0625,1.23346,0.000218624,0.000218624,0.000218624
18,26.4643,1.38511,1.81026,0.62955,0.96135,1.19235,0.9146,0.95833,0.95849,0.55148,0.9146,0.95833,0.95849,0.45573,1.36503,2.42545,0.66076,1.0625,1.23346,0.000225556,0.000225556,0.000225556
19,27.3916,1.35009,1.72718,0.63076,0.91322,1.17626,0.92288,0.99733,0.96888,0.55885,0.91527,0.95833,0.95754,0.46689,1.29128,2.44756,0.65796,0.93444,1.20424,0.000231696,0.000231696,0.000231696
20,28.062,1.32148,1.6964,0.62061,0.92741,1.18319,0.92288,0.99733,0.96888,0.55885,0.91527,0.95833,0.95754,0.46689,1.29128,2.44756,0.65796,0.93444,1.20424,0.000237044,0.000237044,0.000237044
21,28.8998,1.36812,1.77388,0.6279,0.93622,1.16816,0.92299,0.99886,0.9745,0.55464,0.92299,0.99886,0.9745,0.46532,1.30005,2.43579,0.65341,0.86718,1.19209,0.0002416,0.0002416,0.0002416
22,29.5469,1.29745,1.65427,0.63347,0.95543,1.19447,0.92299,0.99886,0.9745,0.55464,0.92299,0.99886,0.9745,0.46532,1.30005,2.43579,0.65341,0.86718,1.19209,0.000245364,0.000245364,0.000245364
23,30.325,1.24593,1.44882,0.61806,0.84364,1.17687,0.92278,0.99601,0.97651,0.5784,0.92278,0.99601,0.97651,0.46777,1.31128,2.46507,0.64872,0.90077,1.1867,0.000248336,0.000248336,0.000248336
24,31.0214,1.37615,1.43246,0.60034,0.87049,1.13679,0.92278,0.99601,0.97651,0.5784,0.92278,0.99601,0.97651,0.46777,1.31128,2.46507,0.64872,0.90077,1.1867,0.000250516,0.000250516,0.000250516
25,31.7514,1.2287,1.59893,0.61132,0.84819,1.16265,0.91872,0.95833,0.98181,0.57585,0.91872,0.95833,0.98181,0.4802,1.3028,2.41015,0.6428,0.88612,1.18242,0.000251904,0.000251904,0.000251904
26,32.4909,1.28743,1.35042,0.59184,0.81909,1.21531,0.91872,0.95833,0.98181,0.57585,0.91872,0.95833,0.98181,0.4802,1.3028,2.41015,0.6428,0.88612,1.18242,0.0002525,0.0002525,0.0002525
27,33.1834,1.28125,1.50682,0.62702,0.83033,1.17572,0.95419,0.95833,0.98556,0.57978,0.95419,0.95833,0.98556,0.51719,1.32179,2.27991,0.63603,0.85885,1.17635,0.000252304,0.000252304,0.000252304
28,33.8577,1.27389,1.38601,0.57952,0.77091,1.13658,0.95419,0.95833,0.98556,0.57978,0.95419,0.95833,0.98556,0.51719,1.32179,2.27991,0.63603,0.85885,1.17635,0.000251316,0.000251316,0.000251316
29,34.6029,1.18759,1.30594,0.58989,0.79998,1.14113,0.93515,0.95833,0.98722,0.58384,0.93515,0.95833,0.98722,0.5271,1.35912,2.18632,0.63016,0.87934,1.18764,0.000249536,0.000249536,0.000249536
30,35.2764,1.26417,1.18699,0.57737,0.79761,1.15668,0.93515,0.95833,0.98722,0.58384,0.93515,0.95833,0.98722,0.5271,1.35912,2.18632,0.63016,0.87934,1.18764,0.000246964,0.000246964,0.000246964
31,36.0498,1.08494,1.2292,0.58108,0.72768,1.05401,0.92305,0.9997,0.98859,0.57628,0.92305,0.9997,0.98859,0.54683,1.34476,2.14793,0.62375,0.89667,1.1697,0.0002436,0.0002436,0.0002436
32,36.736,1.19572,1.28853,0.5934,0.79779,1.08839,0.92305,0.9997,0.98859,0.57628,0.92305,0.9997,0.98859,0.54683,1.34476,2.14793,0.62375,0.89667,1.1697,0.000239444,0.000239444,0.000239444
33,37.4846,1.20779,1.24848,0.59724,0.83506,1.13776,0.92128,1,0.99026,0.57534,0.92128,1,0.99026,0.5715,1.36308,2.0432,0.61687,0.85458,1.1848,0.000234496,0.000234496,0.000234496
34,38.1941,1.17772,1.37725,0.57669,0.77079,1.08099,0.92128,1,0.99026,0.57534,0.92128,1,0.99026,0.5715,1.36308,2.0432,0.61687,0.85458,1.1848,0.000228756,0.000228756,0.000228756
35,38.8947,1.25285,1.24626,0.58883,0.78789,1.14944,0.95657,0.95833,0.99192,0.60316,0.95657,0.95833,0.99192,0.58744,1.31066,1.98681,0.60686,0.83467,1.17092,0.000222224,0.000222224,0.000222224
36,39.5289,1.09682,1.29194,0.57116,0.76195,1.08376,0.95657,0.95833,0.99192,0.60316,0.95657,0.95833,0.99192,0.58744,1.31066,1.98681,0.60686,0.83467,1.17092,0.0002149,0.0002149,0.0002149
37,40.2488,1.14654,1.16388,0.58759,0.76683,1.12009,0.96537,0.95833,0.99192,0.62146,0.96537,0.95833,0.99192,0.59942,1.27942,1.96491,0.59716,0.80707,1.15743,0.000206784,0.000206784,0.000206784
38,40.9317,1.10627,1.23775,0.56028,0.76087,1.06311,0.96537,0.95833,0.99192,0.62146,0.96537,0.95833,0.99192,0.59942,1.27942,1.96491,0.59716,0.80707,1.15743,0.000197876,0.000197876,0.000197876
39,41.8086,1.14159,1.17802,0.57079,0.7332,1.10296,0.97888,0.95833,0.99192,0.63792,0.97888,0.95833,0.99192,0.61937,1.27248,1.93024,0.59191,0.77989,1.14509,0.000188176,0.000188176,0.000188176
40,42.6008,1.13628,1.27944,0.55138,0.74338,1.1105,0.97888,0.95833,0.99192,0.63792,0.97888,0.95833,0.99192,0.61937,1.27248,1.93024,0.59191,0.77989,1.14509,0.000177684,0.000177684,0.000177684
41,49.2078,1.20455,1.15838,0.53226,0.79222,1.10812,0.97693,0.95833,0.99192,0.64001,0.97693,0.95833,0.99192,0.61355,1.27643,1.88454,0.58793,0.77843,1.13223,0.0001664,0.0001664,0.0001664
42,50.4221,1.03806,1.0024,0.4769,0.70218,1.02439,0.97693,0.95833,0.99192,0.64001,0.97693,0.95833,0.99192,0.61355,1.27643,1.88454,0.58793,0.77843,1.13223,0.000154324,0.000154324,0.000154324
43,51.6049,1.11429,1.06425,0.53911,0.78273,1.09942,0.9732,0.95833,0.99192,0.6339,0.9732,0.95833,0.99192,0.63397,1.30123,1.82195,0.58168,0.7512,1.14449,0.000141456,0.000141456,0.000141456
44,52.5454,1.07435,0.96052,0.50594,0.70207,1.05749,0.9732,0.95833,0.99192,0.6339,0.9732,0.95833,0.99192,0.63397,1.30123,1.82195,0.58168,0.7512,1.14449,0.000127796,0.000127796,0.000127796
45,53.2984,1.07739,1.13346,0.52085,0.72044,1.03421,0.97682,0.95833,0.99056,0.62341,0.97682,0.95833,0.99056,0.63057,1.30218,1.77667,0.57518,0.74326,1.14847,0.000113344,0.000113344,0.000113344
46,53.9671,1.09436,0.93586,0.50472,0.72339,1.09592,0.97682,0.95833,0.99056,0.62341,0.97682,0.95833,0.99056,0.63057,1.30218,1.77667,0.57518,0.74326,1.14847,9.81e-05,9.81e-05,9.81e-05
47,54.6746,1.08547,1.01126,0.50476,0.64983,1.08534,0.97759,0.95833,0.99056,0.62278,0.97759,0.95833,0.99056,0.63888,1.29016,1.71363,0.56687,0.73427,1.14889,8.2064e-05,8.2064e-05,8.2064e-05
48,55.366,0.97128,0.99517,0.49283,0.65338,1.04487,0.97759,0.95833,0.99056,0.62278,0.97759,0.95833,0.99056,0.63888,1.29016,1.71363,0.56687,0.73427,1.14889,6.5236e-05,6.5236e-05,6.5236e-05
49,56.1062,0.95822,1.01427,0.50299,0.66497,1.04568,0.98305,0.95833,0.99192,0.63032,0.98305,0.95833,0.99192,0.6552,1.26986,1.681,0.56107,0.71934,1.14328,4.7616e-05,4.7616e-05,4.7616e-05
50,56.879,1.0203,0.95171,0.46225,0.62791,1.00092,0.98305,0.95833,0.99192,0.63032,0.98305,0.95833,0.99192,0.6552,1.26986,1.681,0.56107,0.71934,1.14328,2.9204e-05,2.9204e-05,2.9204e-05
