epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7238,2.36502,2.791,0.6819,4.60574,2.11828,0.07328,0.70833,0.07599,0.02742,0.08621,0.83333,0.16885,0.04933,2.23204,2.60354,0.67433,3.89409,2.17939,0,0,0
2,14.5144,2.26301,2.60042,0.71036,4.08215,2.13345,0.07522,0.70833,0.08165,0.02851,0.20661,0.125,0.17545,0.05108,2.23054,2.60341,0.67422,3.89808,2.18637,1.9604e-05,1.9604e-05,1.9604e-05
3,15.2433,2.44002,2.98835,0.67345,4.14646,2.31322,0.06335,0.58333,0.07427,0.02581,0.19187,0.125,0.16176,0.04555,2.23294,2.58064,0.67289,3.88098,2.18503,3.8416e-05,3.8416e-05,3.8416e-05
4,16.2499,2.45899,2.69468,0.69227,4.45952,2.21159,0.0625,0.58333,0.07317,0.02514,0.17591,0.16667,0.17131,0.04651,2.24219,2.59092,0.67302,3.87852,2.18449,5.6436e-05,5.6436e-05,5.6436e-05
5,17.0038,2.38484,2.74004,0.69967,4.484,2.2039,0.06047,0.54167,0.07242,0.02422,0.30391,0.20833,0.20469,0.05237,2.25165,2.59853,0.6732,3.89303,2.18986,7.3664e-05,7.3664e-05,7.3664e-05
6,17.6154,2.33558,2.5168,0.68404,4.6022,2.15555,0.06635,0.58333,0.07427,0.02486,0.28561,0.20833,0.20446,0.0535,2.26188,2.54527,0.67298,3.9223,2.20441,9.01e-05,9.01e-05,9.01e-05
7,18.1998,2.50802,2.8698,0.69265,4.30661,2.17411,0.51761,0.31368,0.333,0.11041,0.57501,0.41667,0.42362,0.13092,2.17366,2.64273,0.67705,2.78642,1.92697,0.000105744,0.000105744,0.000105744
8,18.9376,2.2467,2.83637,0.69219,2.88713,1.90038,0.70254,0.41667,0.47332,0.16375,0.78386,0.45364,0.56916,0.20757,1.98288,2.61228,0.67753,2.09118,1.69255,0.000120596,0.000120596,0.000120596
9,19.6621,1.96943,2.75394,0.69348,2.03491,1.68164,0.71345,0.58333,0.68806,0.25651,0.7653,0.625,0.72694,0.26094,1.81322,2.6184,0.67573,1.41533,1.56793,0.000134656,0.000134656,0.000134656
10,20.3657,1.85695,2.73918,0.69034,1.63353,1.53804,0.79853,0.70833,0.83546,0.35025,0.79853,0.70833,0.82769,0.30696,1.65707,2.61362,0.67263,1.21601,1.49563,0.000147924,0.000147924,0.000147924
11,21.1062,1.7314,2.52094,0.66136,1.34443,1.42056,0.89428,0.83333,0.91095,0.40559,0.89428,0.83333,0.92329,0.37365,1.62165,2.59923,0.67017,1.20072,1.41402,0.0001604,0.0001604,0.0001604
12,21.8006,1.48481,2.20288,0.65554,1.20679,1.33172,0.92699,0.91667,0.95366,0.47878,0.92699,0.91667,0.96284,0.41118,1.56182,2.55901,0.66913,1.22677,1.34471,0.000172084,0.000172084,0.000172084
