epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,115.299,1.29243,0.51219,0.39132,0.81072,1.20239,0.86008,0.97064,0.95016,0.54178,0.88336,0.99655,0.97002,0.89969,1.34356,0.34571,0.14687,0.76098,1.30312,0.0018713,0.0018713,0.0018713
28,118.423,1.27318,0.45487,0.38389,0.82055,1.2037,0.83789,0.95222,0.92242,0.55466,0.84706,1,0.94,0.85461,1.29648,0.35252,0.14895,0.79439,1.28493,0.00186635,0.00186635,0.00186635
29,121.402,1.23453,0.42382,0.38832,0.75437,1.19721,0.88004,0.96537,0.92725,0.52569,0.90676,0.94737,0.9635,0.82984,1.39262,0.41082,0.15643,0.92315,1.3466,0.0018614,0.0018614,0.0018614
30,124.304,1.20116,0.45736,0.36621,0.76422,1.13901,0.88004,0.96537,0.92725,0.52569,0.90676,0.94737,0.9635,0.82984,1.39262,0.41082,0.15643,0.92315,1.3466,0.00185645,0.00185645,0.00185645
31,127.392,1.24831,0.40302,0.38353,0.77898,1.199,0.89007,0.97368,0.96113,0.57254,0.90402,1,0.9691,0.86183,1.39056,0.40681,0.15465,0.83473,1.32942,0.0018515,0.0018515,0.0018515
32,130.415,1.23413,0.44855,0.38621,0.7647,1.1902,0.94472,0.97368,0.97916,0.5912,0.94913,0.98209,0.98505,0.91331,1.34885,0.3585,0.14826,0.70002,1.30342,0.00184655,0.00184655,0.00184655
33,133.466,1.27137,0.43491,0.36839,0.74525,1.19993,0.94843,0.96809,0.9583,0.54038,0.94843,0.96809,0.97492,0.91872,1.50317,0.33189,0.14923,0.72225,1.37566,0.0018416,0.0018416,0.0018416
34,136.49,1.18423,0.39417,0.32979,0.71802,1.16062,0.93234,0.97368,0.96395,0.58166,0.93234,0.97368,0.97546,0.92366,1.36303,0.31327,0.14555,0.67381,1.28027,0.00183665,0.00183665,0.00183665
35,139.545,1.13783,0.37961,0.34072,0.67578,1.14454,0.9478,0.95572,0.97549,0.56351,0.9478,0.95572,0.98179,0.94046,1.37682,0.31562,0.14406,0.7044,1.2595,0.0018317,0.0018317,0.0018317
36,142.347,1.16622,0.39344,0.33832,0.71016,1.16304,0.9663,0.94737,0.96486,0.56867,0.9663,0.94737,0.9733,0.92818,1.37161,0.28721,0.13951,0.70729,1.2547,0.00182675,0.00182675,0.00182675
37,145.054,1.20404,0.38082,0.36171,0.70147,1.15756,0.96538,0.94737,0.95109,0.56295,0.97337,0.96202,0.96985,0.95612,1.26403,0.24435,0.13881,0.66166,1.24288,0.0018218,0.0018218,0.0018218
38,147.841,1.11047,0.35552,0.32281,0.67135,1.1333,0.96538,0.94737,0.95109,0.56295,0.97337,0.96202,0.96985,0.95612,1.26403,0.24435,0.13881,0.66166,1.24288,0.00181685,0.00181685,0.00181685
